,Species,Country,Latitude,Longitude,Number of endangered indigenous species,Total number of known species,Number of critically endangered indigenous species,Number of endangered species,Number of vulnerable species,Threatened species as % of known species,Total number of indigenous threatened species,Threatened indigenous species as % of indigenous spec.,Total number of indigenous known species,Total number of threatened species,Number of vulnerable indigenous species,Number of critically endangered species
978,Vascular plants,Luxembourg,49.815273,6.129583,124.0,1323.0,121.0,124.0,109.0,26.757,354.0,29.378,1205.0,354.0,109.0,121.0
987,Vascular plants,Mexico,23.634501,-102.552784,130.0,23296.0,5.0,220.0,350.0,2.189,349.0,2.297,11551.0,576.0,214.0,6.0
996,Vascular plants,Netherlands,52.132633,5.291266,117.0,1395.0,71.0,117.0,168.0,25.52,356.0,25.52,1395.0,356.0,168.0,71.0
1001,Vascular plants,New Zealand,-40.900557,174.885971,64.0,5038.0,163.0,,,,328.0,13.199,2485.0,,101.0,
1006,Vascular plants,Norway,60.472024,8.468946,100.0,3243.0,35.0,100.0,111.0,7.586,246.0,18.128,1357.0,246.0,111.0,35.0
1015,Vascular plants,Poland,51.919438,19.145136,140.0,3139.0,117.0,154.0,208.0,15.578,451.0,17.481,2580.0,489.0,194.0,127.0
1024,Vascular plants,Portugal,39.399872,-8.224454,,3607.0,,,,,,,2927.0,,,
1026,Vascular plants,Slovak Republic,,,,3619.0,,171.0,201.0,14.562,,,,527.0,,155.0
1031,Vascular plants,Spain,40.463667,-3.74922,202.0,7603.0,240.0,202.0,439.0,11.588,881.0,,,881.0,439.0,240.0
1039,Vascular plants,Sweden,60.128161,18.643501,114.0,1561.0,43.0,114.0,113.0,17.297,270.0,17.297,1561.0,270.0,113.0,43.0
1045,Vascular plants,Switzerland,46.818188,8.227512,197.0,2613.0,111.0,197.0,362.0,25.641,670.0,25.641,2613.0,670.0,362.0,111.0
1054,Vascular plants,Turkey,38.963745,35.243322,,12145.0,,,,10.951,,,,1282.0,,
1056,Vascular plants,United Kingdom,55.378051,-3.435973,110.0,4562.0,42.0,110.0,214.0,18.106,366.0,,1932.0,366.0,214.0,42.0
1065,Vascular plants,Chile,-35.675147,-71.542969,199.0,6103.0,74.0,199.0,153.0,5.414,426.0,6.025,4655.0,426.0,153.0,74.0
1071,Vascular plants,Estonia,58.595272,25.013607,67.0,2013.0,35.0,67.0,102.0,10.134,204.0,15.596,1308.0,204.0,102.0,35.0
1080,Vascular plants,Israel,31.046051,34.851612,123.0,,67.0,,,,374.0,16.477,2288.0,,184.0,
1084,Vascular plants,Russia,61.52401,105.318756,,,,,,,,,,63.0,,
1085,Vascular plants,Slovenia,46.151241,14.995463,80.0,3452.0,,80.0,254.0,9.676,334.0,10.709,3119.0,334.0,254.0,
1092,Fish,Australia,-25.274398,133.775136,19.0,5305.0,7.0,19.0,24.0,0.945,50.0,0.953,5257.0,50.0,24.0,7.0
1095,Marine Fish,Australia,-25.274398,133.775136,2.0,5051.0,4.0,2.0,8.0,0.278,14.0,0.278,5040.0,14.0,8.0,4.0
1096,Freshwater Fish,Australia,-25.274398,133.775136,17.0,375.0,3.0,17.0,16.0,9.6,36.0,10.682,337.0,36.0,16.0,3.0
1112,Fish,Austria,47.516231,14.550072,18.0,84.0,6.0,18.0,15.0,46.429,39.0,46.429,84.0,39.0,15.0,6.0
1113,Freshwater Fish,Austria,47.516231,14.550072,18.0,84.0,6.0,18.0,15.0,46.429,39.0,46.429,84.0,39.0,15.0,6.0
1151,Fish,Belgium,50.503887,4.469936,4.0,142.0,3.0,4.0,22.0,20.423,29.0,23.577,123.0,29.0,22.0,3.0
1152,Marine Fish,Belgium,50.503887,4.469936,3.0,99.0,2.0,3.0,9.0,14.141,14.0,14.141,99.0,14.0,9.0,2.0
1153,Freshwater Fish,Belgium,50.503887,4.469936,1.0,43.0,1.0,1.0,13.0,34.884,15.0,62.5,24.0,15.0,13.0,1.0
1202,Fish,Canada,56.130366,-106.346771,25.0,1376.0,9.0,25.0,54.0,6.395,88.0,6.466,1361.0,88.0,54.0,9.0
1203,Marine Fish,Canada,56.130366,-106.346771,11.0,1211.0,3.0,11.0,38.0,4.294,52.0,4.294,1211.0,52.0,38.0,3.0
1204,Freshwater Fish,Canada,56.130366,-106.346771,14.0,165.0,6.0,14.0,16.0,21.818,36.0,24.0,150.0,36.0,16.0,6.0
1263,Fish,Czech Republic,49.817492,15.472962,2.0,99.0,15.0,2.0,8.0,42.373,25.0,42.373,75.0,25.0,8.0,15.0
1264,Freshwater Fish,Czech Republic,49.817492,15.472962,2.0,99.0,15.0,2.0,8.0,42.373,25.0,42.373,75.0,25.0,8.0,15.0
1317,Freshwater Fish,Denmark,56.26392,9.501785,,55.0,2.0,,6.0,14.545,8.0,22.222,36.0,8.0,6.0,2.0
1339,Freshwater Fish,Finland,61.92411,25.748151,3.0,69.0,4.0,3.0,5.0,17.391,12.0,17.391,69.0,12.0,5.0,4.0
1366,Freshwater Fish,France,46.227638,2.213749,,80.0,,6.0,5.0,18.75,,,,15.0,,4.0
1379,Freshwater Fish,Germany,51.165691,10.451526,9.0,103.0,8.0,9.0,11.0,30.108,28.0,35.443,89.0,28.0,11.0,8.0
1406,Fish,Greece,39.074208,21.824312,16.0,665.0,19.0,16.0,28.0,9.474,63.0,10.483,601.0,63.0,28.0,19.0
1407,Marine Fish,Greece,39.074208,21.824312,4.0,511.0,5.0,4.0,5.0,2.74,14.0,2.985,469.0,14.0,5.0,5.0
1408,Freshwater Fish,Greece,39.074208,21.824312,12.0,154.0,14.0,12.0,23.0,31.818,49.0,39.2,125.0,49.0,23.0,14.0
1455,Fish,Hungary,47.162494,19.503304,,81.0,,,,43.21,,,52.0,35.0,,
1456,Freshwater Fish,Hungary,47.162494,19.503304,,81.0,,,,43.21,,,52.0,35.0,,
1478,Freshwater Fish,Iceland,64.963051,-19.020835,,5.0,,,,,,,,,,
1481,Fish,Ireland,53.41291,-8.24389,,404.0,,,,,,,391.0,,,
1482,Marine Fish,Ireland,53.41291,-8.24389,5.0,376.0,6.0,5.0,6.0,4.521,17.0,4.521,376.0,17.0,6.0,6.0
1483,Freshwater Fish,Ireland,53.41291,-8.24389,,28.0,1.0,,4.0,17.857,5.0,33.333,15.0,5.0,4.0,1.0
1506,Fish,Italy,41.87194,12.56738,,641.0,,12.0,14.0,7.332,,,,47.0,,21.0
1507,Marine Fish,Italy,41.87194,12.56738,,544.0,,6.0,6.0,4.044,,,,22.0,,10.0
1508,Freshwater Fish,Italy,41.87194,12.56738,,97.0,,6.0,8.0,25.773,,,,25.0,,11.0
1519,Freshwater Fish,Japan,36.204824,138.252924,,400.0,,71.0,44.0,42.25,,,,169.0,,54.0
1530,Fish,Korea,,,9.0,1290.0,4.0,13.0,7.0,2.031,17.0,,66.0,24.0,4.0,4.0
1532,Freshwater Fish,Korea,,,9.0,202.0,4.0,13.0,7.0,12.871,17.0,,66.0,24.0,4.0,4.0
1545,Fish,Luxembourg,49.815273,6.129583,1.0,43.0,3.0,1.0,8.0,27.907,12.0,44.444,27.0,12.0,8.0,3.0
1546,Freshwater Fish,Luxembourg,49.815273,6.129583,1.0,43.0,3.0,1.0,8.0,27.907,12.0,44.444,27.0,12.0,8.0,3.0
1575,Fish,Mexico,23.634501,-102.552784,44.0,2763.0,3.0,85.0,76.0,6.298,77.0,,,175.0,30.0,14.0
1600,Fish,Netherlands,52.132633,5.291266,5.0,97.0,4.0,5.0,14.0,23.711,23.0,23.711,97.0,23.0,14.0,4.0
1601,Marine Fish,Netherlands,52.132633,5.291266,3.0,57.0,3.0,3.0,4.0,17.544,10.0,17.544,57.0,10.0,4.0,3.0
1602,Freshwater Fish,Netherlands,52.132633,5.291266,2.0,40.0,1.0,2.0,10.0,32.5,13.0,32.5,40.0,13.0,10.0,1.0
1643,Freshwater Fish,New Zealand,-40.900557,174.885971,6.0,75.0,4.0,,,,22.0,40.741,54.0,,12.0,
1660,Fish,Norway,60.472024,8.468946,4.0,312.0,1.0,4.0,2.0,2.244,7.0,3.571,196.0,7.0,2.0,1.0
1661,Marine Fish,Norway,60.472024,8.468946,4.0,278.0,1.0,4.0,2.0,2.518,7.0,3.977,176.0,7.0,2.0,1.0
1662,Freshwater Fish,Norway,60.472024,8.468946,,50.0,,,,,,,33.0,,,
1698,Fish,Poland,51.919438,19.145136,5.0,126.0,6.0,5.0,14.0,19.841,25.0,27.778,90.0,25.0,14.0,6.0
1699,Marine Fish,Poland,51.919438,19.145136,0.0,36.0,1.0,0.0,1.0,5.556,2.0,5.556,36.0,2.0,1.0,1.0
1700,Freshwater Fish,Poland,51.919438,19.145136,4.0,77.0,1.0,4.0,12.0,22.078,17.0,36.957,46.0,17.0,12.0,1.0
1747,Fish,Portugal,39.399872,-8.224454,10.0,65.0,8.0,10.0,4.0,33.846,22.0,62.857,35.0,22.0,4.0,8.0
1771,Freshwater Fish,Slovak Republic,,,6.0,79.0,,6.0,6.0,15.19,12.0,19.048,63.0,12.0,6.0,
1793,Freshwater Fish,Spain,40.463667,-3.74922,7.0,82.0,9.0,7.0,19.0,42.683,35.0,,,35.0,19.0,9.0
1813,Fish,Sweden,60.128161,18.643501,6.0,141.0,6.0,6.0,8.0,14.184,20.0,14.184,141.0,20.0,8.0,6.0
1838,Fish,Switzerland,46.818188,8.227512,5.0,70.0,6.0,5.0,13.0,34.286,24.0,43.636,55.0,24.0,13.0,6.0
1839,Freshwater Fish,Switzerland,46.818188,8.227512,5.0,70.0,6.0,5.0,13.0,34.286,24.0,43.636,55.0,24.0,13.0,6.0
1862,Fish,Turkey,38.963745,35.243322,,716.0,,,,,,,,,,
1863,Marine Fish,Turkey,38.963745,35.243322,,480.0,,,,,,,,,,
1864,Freshwater Fish,Turkey,38.963745,35.243322,,402.0,,,,,,,,,,
1869,Fish,United Kingdom,55.378051,-3.435973,11.0,622.0,7.0,,,,42.0,,,,24.0,
1870,Freshwater Fish,United Kingdom,55.378051,-3.435973,1.0,,,3.0,1.0,,1.0,,,4.0,,
1883,Fish,Chile,-35.675147,-71.542969,23.0,1272.0,1.0,23.0,14.0,,38.0,3.1,1226.0,38.0,14.0,1.0
1884,Marine Fish,Chile,-35.675147,-71.542969,,1182.0,,,1.0,,1.0,0.085,1182.0,1.0,1.0,
1885,Freshwater Fish,Chile,-35.675147,-71.542969,23.0,72.0,1.0,23.0,13.0,,37.0,84.091,44.0,37.0,13.0,1.0
1922,Fish,Estonia,58.595272,25.013607,1.0,103.0,3.0,1.0,5.0,8.738,9.0,13.636,66.0,9.0,5.0,3.0
1923,Marine Fish,Estonia,58.595272,25.013607,1.0,66.0,2.0,1.0,1.0,6.061,4.0,7.692,52.0,4.0,1.0,2.0
1924,Freshwater Fish,Estonia,58.595272,25.013607,1.0,54.0,3.0,1.0,5.0,16.667,9.0,20.455,44.0,9.0,5.0,3.0
1971,Freshwater Fish,Russia,61.52401,105.318756,,,,,,,,,,40.0,,
1972,Fish,Slovenia,46.151241,14.995463,40.0,273.0,,40.0,10.0,18.315,50.0,,,50.0,10.0,
1973,Marine Fish,Slovenia,46.151241,14.995463,9.0,188.0,,9.0,1.0,5.319,10.0,,,10.0,1.0,
1974,Freshwater Fish,Slovenia,46.151241,14.995463,31.0,85.0,,31.0,9.0,47.059,40.0,,,40.0,9.0,
2022,Fish,France,46.227638,2.213749,,163.0,,11.0,8.0,15.951,,,,26.0,,7.0
2023,Marine Fish,France,46.227638,2.213749,,83.0,,5.0,3.0,,,,,11.0,,3.0
2034,Fish,New Zealand,-40.900557,174.885971,6.0,289.0,4.0,,,,22.0,8.527,258.0,,12.0,
2035,Marine Fish,New Zealand,-40.900557,174.885971,,214.0,,,,,,,204.0,,,
2048,Mosses,Canada,56.130366,-106.346771,85.0,1373.0,75.0,85.0,134.0,21.413,294.0,21.554,1364.0,294.0,134.0,75.0
2051,Lichens,Canada,56.130366,-106.346771,51.0,857.0,70.0,51.0,63.0,21.47,184.0,21.495,856.0,184.0,63.0,70.0
2064,Mosses,Finland,61.92411,25.748151,70.0,892.0,37.0,70.0,76.0,20.516,183.0,20.516,892.0,183.0,76.0,37.0
2065,Lichens,Finland,61.92411,25.748151,81.0,1594.0,63.0,81.0,124.0,16.813,268.0,16.813,1594.0,268.0,124.0,63.0
2066,Invertebrates,Finland,61.92411,25.748151,393.0,23950.0,123.0,393.0,739.0,5.24,1255.0,5.24,23950.0,1255.0,739.0,123.0
2105,Fish,Germany,51.165691,10.451526,14.0,197.0,12.0,14.0,23.0,26.344,49.0,28.488,183.0,49.0,23.0,12.0
2106,Marine Fish,Germany,51.165691,10.451526,5.0,94.0,4.0,5.0,12.0,22.581,21.0,22.581,94.0,21.0,12.0,4.0
2107,Mosses,Germany,51.165691,10.451526,114.0,1195.0,45.0,114.0,250.0,40.946,409.0,40.946,1189.0,409.0,250.0,45.0
2108,Lichens,Germany,51.165691,10.451526,169.0,2380.0,337.0,169.0,546.0,51.672,1052.0,51.672,2380.0,1052.0,546.0,337.0
2109,Invertebrates,Germany,51.165691,10.451526,1010.0,10434.0,559.0,1010.0,2183.0,36.593,3752.0,36.921,10256.0,3752.0,2183.0,559.0
2167,Invertebrates,Italy,41.87194,12.56738,,58632.0,,136.0,232.0,0.778,,,,456.0,,88.0
2173,Marine Fish,Korea,,,,1088.0,,,,,,,,,,
2175,Invertebrates,Korea,,,13.0,27568.0,6.0,43.0,137.0,0.769,56.0,,1716.0,204.0,37.0,24.0
2192,Invertebrates,Luxembourg,49.815273,6.129583,,149.0,,7.0,9.0,15.436,,,,23.0,,7.0
2197,Marine Fish,Mexico,23.634501,-102.552784,0.0,2224.0,0.0,1.0,2.0,,0.0,,,3.0,0.0,0.0
